21:44:08 kwargs,  {'id': -1} <class 'dict'>
21:44:57 kwargs,  {'id': -1} <class 'dict'>
21:45:16 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
21:45:16 debug 0
21:45:16 kwargs,  {'id': -1} <class 'dict'>
21:46:45 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
21:48:50 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
21:49:35 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
21:49:35 kwargs,  {'id': 1} <class 'dict'>
21:49:47 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
21:49:47 kwargs,  {'id': 1} <class 'dict'>
21:50:40 kwargs,  {'id': 1} <class 'dict'>
21:50:51 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
21:50:51 kwargs,  {'id': 1} <class 'dict'>
21:50:54 kwargs,  {'id': 1} <class 'dict'>
21:51:08 kwargs,  {'id': 1} <class 'dict'>
22:04:14 kwargs,  {'username': 'gua'} <class 'dict'>
22:04:14 kwargs,  {'id': 1} <class 'dict'>
22:04:28 kwargs,  {'username': 'gua'} <class 'dict'>
22:04:28 debug 1
22:04:28 kwargs,  {'id': 1} <class 'dict'>
22:04:39 kwargs,  {'username': 'gua'} <class 'dict'>
22:04:39 kwargs,  {'id': 2} <class 'dict'>
22:13:01 kwargs,  {'username': 'gua'} <class 'dict'>
22:13:01 kwargs,  {'id': 2} <class 'dict'>
22:17:00 kwargs,  {'username': 'gua'} <class 'dict'>
22:17:00 kwargs,  {'id': 2} <class 'dict'>
22:17:18 kwargs,  {'username': ''} <class 'dict'>
22:17:18 kwargs,  {'id': 2} <class 'dict'>
22:17:24 kwargs,  {'id': 2} <class 'dict'>
22:17:33 kwargs,  {'username': 'stephenyoung'} <class 'dict'>
22:17:33 kwargs,  {'id': 1} <class 'dict'>
22:17:36 kwargs,  {'username': ''} <class 'dict'>
22:17:36 kwargs,  {'id': 1} <class 'dict'>
22:17:42 kwargs,  {'id': 1} <class 'dict'>
22:17:48 kwargs,  {'username': 'gua'} <class 'dict'>
22:17:49 kwargs,  {'id': 2} <class 'dict'>
22:17:50 kwargs,  {'username': ''} <class 'dict'>
22:17:51 kwargs,  {'id': 2} <class 'dict'>
